DateTime,Open,High,Low,Closing Price
2023-05-24 15:00:00,26254.93000000,26259.67000000,26080.50000000,26150.00000000
2023-05-24 15:15:00,26150.01000000,26334.98000000,26144.13000000,26322.23000000
2023-05-24 15:30:00,26322.22000000,26377.63000000,26260.00000000,26298.77000000
2023-05-24 15:45:00,26298.77000000,26333.37000000,26288.89000000,26314.69000000
2023-05-24 16:00:00,26314.69000000,26326.47000000,26230.79000000,26260.51000000
2023-05-24 16:15:00,26260.51000000,26260.57000000,26185.01000000,26212.37000000
2023-05-24 16:30:00,26212.37000000,26240.00000000,26159.97000000,26191.30000000
2023-05-24 16:45:00,26191.30000000,26238.01000000,26169.62000000,26238.01000000
2023-05-24 17:00:00,26238.01000000,26238.79000000,26170.18000000,26203.44000000
2023-05-24 17:15:00,26203.44000000,26297.93000000,26202.64000000,26269.60000000
2023-05-24 17:30:00,26269.60000000,26358.99000000,26269.60000000,26342.49000000
2023-05-24 17:45:00,26342.48000000,26350.00000000,26259.97000000,26285.01000000
2023-05-24 18:00:00,26285.01000000,26324.41000000,26238.14000000,26281.36000000
2023-05-24 18:15:00,26281.35000000,26293.64000000,26227.74000000,26239.83000000
2023-05-24 18:30:00,26239.84000000,26285.48000000,26234.81000000,26278.97000000
2023-05-24 18:45:00,26278.97000000,26279.88000000,26214.00000000,26220.55000000
2023-05-24 19:00:00,26220.55000000,26259.95000000,26201.67000000,26257.11000000
2023-05-24 19:15:00,26257.11000000,26348.00000000,26237.34000000,26317.73000000
2023-05-24 19:30:00,26317.73000000,26397.64000000,26297.66000000,26298.86000000
2023-05-24 19:45:00,26298.86000000,26302.13000000,26232.36000000,26252.33000000
2023-05-24 20:00:00,26252.34000000,26287.09000000,26242.62000000,26254.96000000
2023-05-24 20:15:00,26254.95000000,26422.04000000,26254.95000000,26418.33000000
2023-05-24 20:30:00,26418.34000000,26486.46000000,26351.17000000,26351.17000000
2023-05-24 20:45:00,26351.18000000,26474.99000000,26322.95000000,26404.18000000
